path	hits	terms	lines
core/neuro/hpc_neuro_bridge.py	13	neuro,neuron,dopamine,serotonin,gaba,hpc,prediction error,neuromod,inhibition,active inference,kuramoto,entropy,regime	142
docs/API.md	13	free energy,kappa,kuramoto,ricci,forman,ollivier,curvature,phase,coherence,oscillat,entropy,synchronization,regime	646
docs/CALIBRATION_GUIDE.md	13	neuro,dopamine,serotonin,gaba,prediction error,inhibition,reward,arousal,desensitization,receptor,gamma,forman,regime	557
docs/indicators.md	13	κ,kuramoto,ricci,forman,ollivier,curvature,phase,coherence,oscillat,entropy,synchronization,regime,roughness	330
docs/neurodecision_stack.md	13	neuro,dopamine,serotonin,gaba,basal,prediction error,plasticity,neuromod,inhibition,reward,arousal,desensitization,gamma	91
interfaces/dashboard_streamlit.py	13	neuro,neuron,kappa,κ,kuramoto,ricci,curvature,phase,coherence,oscillat,entropy,synchronization,regime	657
runtime/thermo_controller.py	13	neuro,neuron,cns,hpc,reward,arousal,homeostasis,free energy,kuramoto,phase,coherence,entropy,binding	1526
tests/unit/core/neuro/test_signal_bus.py	13	neuro,neuron,dopamine,serotonin,gaba,hpc,neuromod,inhibition,free energy,kuramoto,phase,coherence,regime	263
.claude/physics/DOPAMINE_THEORY.md	12	neuro,neuron,dopamine,serotonin,gaba,prediction error,inhibition,reward,arousal,γ,kuramoto,oscillat	149
benchmarks/neuro_optimization_bench.py	12	neuro,neuron,dopamine,serotonin,gaba,neuromod,inhibition,excitation,arousal,gamma,forman,coherence	461
core/neuro/amm.py	12	neuro,neuron,prediction error,homeostasis,synaptic,gamma,kappa,kuramoto,ricci,curvature,entropy,synchronization	223
core/neuro/serotonin/README.md	12	neuro,dopamine,serotonin,basal,inhibition,desensitization,free energy,gamma,kappa,forman,phase,regime	352
docs/CALIBRATION_PARAMETER_REFERENCE.md	12	neuro,dopamine,serotonin,gaba,prediction error,inhibition,reward,arousal,desensitization,receptor,gamma,regime	418
docs/CLAIM_INVENTORY.md	12	neuro,neuron,dopamine,serotonin,hpc,neuromod,desensitization,free energy,active inference,phase,entropy,regime	15
docs/NEURO_OPTIMIZATION_SUMMARY.md	12	neuro,dopamine,serotonin,gaba,neuromod,inhibition,arousal,desensitization,gamma,forman,coherence,regime	455
docs/SEROTONIN_IMPROVEMENTS_V2.4.0.md	12	neuro,neuron,serotonin,inhibition,aversion,desensitization,receptor,gamma,kappa,forman,oscillat,regime	293
docs/USER_INTERACTION_GUIDE.md	12	neuro,neuron,kappa,κ,kuramoto,ricci,forman,curvature,phase,entropy,synchronization,regime	986
docs/calibration/CONTROLLER_INVENTORY.md	12	neuro,dopamine,serotonin,gaba,prediction error,inhibition,reward,desensitization,receptor,gamma,forman,regime	340
