H,rs,fold_id,fold_start,sharpe_oos,max_drawdown,ic,n_trades,gate_on,H_train,rs_train,pnl
0.3,0.1,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.3,0.15,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.3,0.2,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.3,0.25,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.3,0.3,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.3,0.35,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.3,0.4,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.3,0.45,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.3,0.5,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.3,0.55,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.3,0.6,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.35,0.1,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.35,0.15,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.35,0.2,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.35,0.25,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.35,0.3,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.35,0.35,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.35,0.4,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.35,0.45,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
0.35,0.5,0,2005-03-13,0.0,-0.0,0.0,0,False,0.4346552419043795,0.13069,0.0
