H,rs,active_folds,mean_sharpe,mean_trades,worst_dd,sharpe_ci_lo,sharpe_ci_hi,significant_at_95,p_value_null,deflated_sharpe_stat,expected_max_under_null,probability_edge_real,min_detectable_sharpe,is_adequately_powered,fdr_passes
0.3,0.1,1,1.45089903936306,15.0,0.036902512281251,,,False,,-0.986338219277366,2.437237258640426,0.16198358542928976,,False,False
0.3,0.15,1,1.45089903936306,15.0,0.036902512281251,,,False,,-0.986338219277366,2.437237258640426,0.16198358542928976,,False,False
0.3,0.2,1,1.45089903936306,15.0,0.036902512281251,,,False,,-0.986338219277366,2.437237258640426,0.16198358542928976,,False,False
0.3,0.25,1,1.45089903936306,15.0,0.036902512281251,,,False,,-0.986338219277366,2.437237258640426,0.16198358542928976,,False,False
0.3,0.3,1,1.45089903936306,15.0,0.036902512281251,,,False,,-0.986338219277366,2.437237258640426,0.16198358542928976,,False,False
0.3,0.35,1,1.45089903936306,15.0,0.036902512281251,,,False,,-0.986338219277366,2.437237258640426,0.16198358542928976,,False,False
0.3,0.4,1,1.45089903936306,15.0,0.036902512281251,,,False,,-0.986338219277366,2.437237258640426,0.16198358542928976,,False,False
0.3,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.3,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.3,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.3,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.35,0.1,4,-0.9377589657665784,18.5,0.1679767986209709,-0.9377589657665784,-0.9377589657665784,True,0.494,-4.061483432601383,1.4071395873550356,2.438093961392624e-05,19.73578236648462,False,False
0.35,0.15,4,-0.9377589657665784,18.5,0.1679767986209709,-0.9377589657665784,-0.9377589657665784,True,0.494,-4.061483432601383,1.4071395873550356,2.438093961392624e-05,19.73578236648462,False,False
0.35,0.2,4,-0.9377589657665784,18.5,0.1679767986209709,-0.9377589657665784,-0.9377589657665784,True,0.494,-4.061483432601383,1.4071395873550356,2.438093961392624e-05,19.73578236648462,False,False
0.35,0.25,4,-0.9377589657665784,18.5,0.1679767986209709,-0.9377589657665784,-0.9377589657665784,True,0.494,-4.061483432601383,1.4071395873550356,2.438093961392624e-05,19.73578236648462,False,False
0.35,0.3,4,-0.9377589657665784,18.5,0.1679767986209709,-0.9377589657665784,-0.9377589657665784,True,0.494,-4.061483432601383,1.4071395873550356,2.438093961392624e-05,19.73578236648462,False,False
0.35,0.35,2,-0.5694999244180432,22.0,0.106180425812068,,,False,,-3.006737183058469,2.437237258640426,0.0013203397973982993,,False,False
0.35,0.4,1,1.45089903936306,15.0,0.036902512281251,,,False,,-0.986338219277366,2.437237258640426,0.16198358542928976,,False,False
0.35,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.35,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.35,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.35,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.4,0.1,17,-1.3092147343512035,19.11764705882353,0.3251041411413078,-2.6278098493417263,-0.3868366882152809,True,0.03,-7.67409619604524,0.6093093146601065,8.329451637512531e-15,9.573260623672772,False,False
0.4,0.15,17,-1.3092147343512035,19.11764705882353,0.3251041411413078,-2.6278098493417263,-0.3868366882152809,True,0.03,-7.67409619604524,0.6093093146601065,8.329451637512531e-15,9.573260623672772,False,False
0.4,0.2,17,-1.3092147343512035,19.11764705882353,0.3251041411413078,-2.6278098493417263,-0.3868366882152809,True,0.03,-7.67409619604524,0.6093093146601065,8.329451637512531e-15,9.573260623672772,False,False
0.4,0.25,7,-0.6168625477701285,17.285714285714285,0.1679767986209709,-0.6168625477701285,-0.6168625477701285,True,0.443,-3.948235742110454,0.9949979442947859,3.936462879204526e-05,14.918849163146318,False,False
0.4,0.3,4,-0.9377589657665784,18.5,0.1679767986209709,-0.9377589657665784,-0.9377589657665784,True,0.494,-4.061483432601383,1.4071395873550356,2.438093961392624e-05,19.73578236648462,False,False
0.4,0.35,2,-0.5694999244180432,22.0,0.106180425812068,,,False,,-3.006737183058469,2.437237258640426,0.0013203397973982993,,False,False
0.4,0.4,1,1.45089903936306,15.0,0.036902512281251,,,False,,-0.986338219277366,2.437237258640426,0.16198358542928976,,False,False
0.4,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.4,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.4,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.4,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.45,0.1,62,-0.7358794540104512,19.758064516129032,0.3251041411413078,-1.157510196580056,-0.0788300763072673,True,0.015,-8.18463952583192,0.31205625425252476,1.3655996998692875e-16,5.012893733983334,False,False
0.45,0.15,38,-0.7401187947540978,20.105263157894736,0.3251041411413078,-1.4759958559778719,-0.3558941430840485,True,0.046,-6.939204131340131,0.40067933714337123,1.9715750869498453e-12,6.4031333252371585,False,False
0.45,0.2,17,-1.3092147343512035,19.11764705882353,0.3251041411413078,-2.6278098493417263,-0.3868366882152809,True,0.03,-7.67409619604524,0.6093093146601065,8.329451637512531e-15,9.573260623672772,False,False
0.45,0.25,7,-0.6168625477701285,17.285714285714285,0.1679767986209709,-0.6168625477701285,-0.6168625477701285,True,0.443,-3.948235742110454,0.9949979442947859,3.936462879204526e-05,14.918849163146318,False,False
0.45,0.3,4,-0.9377589657665784,18.5,0.1679767986209709,-0.9377589657665784,-0.9377589657665784,True,0.494,-4.061483432601383,1.4071395873550356,2.438093961392624e-05,19.73578236648462,False,False
0.45,0.35,2,-0.5694999244180432,22.0,0.106180425812068,,,False,,-3.006737183058469,2.437237258640426,0.0013203397973982993,,False,False
0.45,0.4,1,1.45089903936306,15.0,0.036902512281251,,,False,,-0.986338219277366,2.437237258640426,0.16198358542928976,,False,False
0.45,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.45,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.45,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.45,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.5,0.1,62,-0.7358794540104512,19.758064516129032,0.3251041411413078,-1.157510196580056,-0.0788300763072673,True,0.015,-8.18463952583192,0.31205625425252476,1.3655996998692875e-16,5.012893733983334,False,False
0.5,0.15,38,-0.7401187947540978,20.105263157894736,0.3251041411413078,-1.4759958559778719,-0.3558941430840485,True,0.046,-6.939204131340131,0.40067933714337123,1.9715750869498453e-12,6.4031333252371585,False,False
0.5,0.2,17,-1.3092147343512035,19.11764705882353,0.3251041411413078,-2.6278098493417263,-0.3868366882152809,True,0.03,-7.67409619604524,0.6093093146601065,8.329451637512531e-15,9.573260623672772,False,False
0.5,0.25,7,-0.6168625477701285,17.285714285714285,0.1679767986209709,-0.6168625477701285,-0.6168625477701285,True,0.443,-3.948235742110454,0.9949979442947859,3.936462879204526e-05,14.918849163146318,False,False
0.5,0.3,4,-0.9377589657665784,18.5,0.1679767986209709,-0.9377589657665784,-0.9377589657665784,True,0.494,-4.061483432601383,1.4071395873550356,2.438093961392624e-05,19.73578236648462,False,False
0.5,0.35,2,-0.5694999244180432,22.0,0.106180425812068,,,False,,-3.006737183058469,2.437237258640426,0.0013203397973982993,,False,False
0.5,0.4,1,1.45089903936306,15.0,0.036902512281251,,,False,,-0.986338219277366,2.437237258640426,0.16198358542928976,,False,False
0.5,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.5,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.5,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.5,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.55,0.1,62,-0.7358794540104512,19.758064516129032,0.3251041411413078,-1.157510196580056,-0.0788300763072673,True,0.015,-8.18463952583192,0.31205625425252476,1.3655996998692875e-16,5.012893733983334,False,False
0.55,0.15,38,-0.7401187947540978,20.105263157894736,0.3251041411413078,-1.4759958559778719,-0.3558941430840485,True,0.046,-6.939204131340131,0.40067933714337123,1.9715750869498453e-12,6.4031333252371585,False,False
0.55,0.2,17,-1.3092147343512035,19.11764705882353,0.3251041411413078,-2.6278098493417263,-0.3868366882152809,True,0.03,-7.67409619604524,0.6093093146601065,8.329451637512531e-15,9.573260623672772,False,False
0.55,0.25,7,-0.6168625477701285,17.285714285714285,0.1679767986209709,-0.6168625477701285,-0.6168625477701285,True,0.443,-3.948235742110454,0.9949979442947859,3.936462879204526e-05,14.918849163146318,False,False
0.55,0.3,4,-0.9377589657665784,18.5,0.1679767986209709,-0.9377589657665784,-0.9377589657665784,True,0.494,-4.061483432601383,1.4071395873550356,2.438093961392624e-05,19.73578236648462,False,False
0.55,0.35,2,-0.5694999244180432,22.0,0.106180425812068,,,False,,-3.006737183058469,2.437237258640426,0.0013203397973982993,,False,False
0.55,0.4,1,1.45089903936306,15.0,0.036902512281251,,,False,,-0.986338219277366,2.437237258640426,0.16198358542928976,,False,False
0.55,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.55,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.55,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.55,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.6,0.1,62,-0.7358794540104512,19.758064516129032,0.3251041411413078,-1.157510196580056,-0.0788300763072673,True,0.015,-8.18463952583192,0.31205625425252476,1.3655996998692875e-16,5.012893733983334,False,False
0.6,0.15,38,-0.7401187947540978,20.105263157894736,0.3251041411413078,-1.4759958559778719,-0.3558941430840485,True,0.046,-6.939204131340131,0.40067933714337123,1.9715750869498453e-12,6.4031333252371585,False,False
0.6,0.2,17,-1.3092147343512035,19.11764705882353,0.3251041411413078,-2.6278098493417263,-0.3868366882152809,True,0.03,-7.67409619604524,0.6093093146601065,8.329451637512531e-15,9.573260623672772,False,False
0.6,0.25,7,-0.6168625477701285,17.285714285714285,0.1679767986209709,-0.6168625477701285,-0.6168625477701285,True,0.443,-3.948235742110454,0.9949979442947859,3.936462879204526e-05,14.918849163146318,False,False
0.6,0.3,4,-0.9377589657665784,18.5,0.1679767986209709,-0.9377589657665784,-0.9377589657665784,True,0.494,-4.061483432601383,1.4071395873550356,2.438093961392624e-05,19.73578236648462,False,False
0.6,0.35,2,-0.5694999244180432,22.0,0.106180425812068,,,False,,-3.006737183058469,2.437237258640426,0.0013203397973982993,,False,False
0.6,0.4,1,1.45089903936306,15.0,0.036902512281251,,,False,,-0.986338219277366,2.437237258640426,0.16198358542928976,,False,False
0.6,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.6,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.6,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.6,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
