H,rs,fold_id,fold_start,sharpe_oos,max_drawdown,ic,n_trades,gate_on,H_train,rs_train,pnl
0.3,0.1,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.3,0.15,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.3,0.2,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.3,0.25,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.3,0.3,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.3,0.35,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.3,0.4,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.3,0.45,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.3,0.5,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.3,0.55,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.3,0.6,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.35,0.1,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.35,0.15,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.35,0.2,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.35,0.25,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.35,0.3,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.35,0.35,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.35,0.4,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.35,0.45,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.35,0.5,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.35,0.55,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.35,0.6,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.4,0.1,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.4,0.15,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.4,0.2,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.4,0.25,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.4,0.3,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.4,0.35,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.4,0.4,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.4,0.45,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.4,0.5,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.4,0.55,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.4,0.6,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.45,0.1,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.45,0.15,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.45,0.2,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.45,0.25,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.45,0.3,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.45,0.35,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.45,0.4,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.45,0.45,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.45,0.5,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.45,0.55,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.45,0.6,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.5,0.1,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.5,0.15,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.5,0.2,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.5,0.25,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.5,0.3,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.5,0.35,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.5,0.4,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.5,0.45,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.5,0.5,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.5,0.55,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.5,0.6,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.55,0.1,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.55,0.15,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.55,0.2,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.55,0.25,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.55,0.3,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.55,0.35,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.55,0.4,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.55,0.45,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.55,0.5,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.55,0.55,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.55,0.6,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.6,0.1,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.6,0.15,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.6,0.2,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.6,0.25,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.6,0.3,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.6,0.35,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.6,0.4,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.6,0.45,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.6,0.5,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.6,0.55,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.6,0.6,0,2013-11-25,0.0,-0.0,0.0,0,False,0.527665910455589,0.0,0.0
0.3,0.1,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.3,0.15,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.3,0.2,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.3,0.25,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.3,0.3,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.3,0.35,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.3,0.4,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.3,0.45,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.3,0.5,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.3,0.55,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.3,0.6,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.35,0.1,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.35,0.15,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.35,0.2,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.35,0.25,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.35,0.3,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.35,0.35,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.35,0.4,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.35,0.45,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.35,0.5,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.35,0.55,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.35,0.6,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.4,0.1,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.4,0.15,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.4,0.2,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.4,0.25,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.4,0.3,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.4,0.35,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.4,0.4,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.4,0.45,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.4,0.5,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.4,0.55,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.4,0.6,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.45,0.1,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.45,0.15,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.45,0.2,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.45,0.25,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.45,0.3,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.45,0.35,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.45,0.4,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.45,0.45,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.45,0.5,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.45,0.55,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.45,0.6,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
0.5,0.1,1,2013-12-24,0.0,-0.0,0.0,0,False,0.5552673226406754,0.0,0.0
