H,rs,active_folds,mean_sharpe,mean_trades,worst_dd,sharpe_ci_lo,sharpe_ci_hi,significant_at_95,p_value_null,deflated_sharpe_stat,expected_max_under_null,probability_edge_real,min_detectable_sharpe,is_adequately_powered,fdr_passes
0.3,0.1,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.3,0.15,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.3,0.2,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.3,0.25,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.3,0.3,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.3,0.35,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.3,0.4,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.3,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.3,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.3,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.3,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.35,0.1,2,-2.94449469552453,16.0,0.0532271200902625,,,False,,-5.381731954164956,2.437237258640426,3.688628116260778e-08,,False,False
0.35,0.15,2,-2.94449469552453,16.0,0.0532271200902625,,,False,,-5.381731954164956,2.437237258640426,3.688628116260778e-08,,False,False
0.35,0.2,2,-2.94449469552453,16.0,0.0532271200902625,,,False,,-5.381731954164956,2.437237258640426,3.688628116260778e-08,,False,False
0.35,0.25,2,-2.94449469552453,16.0,0.0532271200902625,,,False,,-5.381731954164956,2.437237258640426,3.688628116260778e-08,,False,False
0.35,0.3,2,-2.94449469552453,16.0,0.0532271200902625,,,False,,-5.381731954164956,2.437237258640426,3.688628116260778e-08,,False,False
0.35,0.35,1,-2.902357970890118,12.0,0.040428149642911,,,False,,-5.339595229530544,2.437237258640426,4.6577164178754266e-08,,False,False
0.35,0.4,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.35,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.35,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.35,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.35,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.4,0.1,19,-1.7810666853659263,18.05263157894737,0.1603643702040571,-3.1586606892782862,-1.442065285868794,True,0.01,-9.993663244446587,0.574462330981719,8.123217684146111e-24,9.055397990233523,False,True
0.4,0.15,19,-1.7810666853659263,18.05263157894737,0.1603643702040571,-3.1586606892782862,-1.442065285868794,True,0.01,-9.993663244446587,0.574462330981719,8.123217684146111e-24,9.055397990233523,False,True
0.4,0.2,19,-1.7810666853659263,18.05263157894737,0.1603643702040571,-3.1586606892782862,-1.442065285868794,True,0.01,-9.993663244446587,0.574462330981719,8.123217684146111e-24,9.055397990233523,False,True
0.4,0.25,8,-2.9356437414307286,17.375,0.1603643702040571,-2.9356437414307286,-2.9356437414307286,True,0.008,-10.204220536349336,0.9211890960604823,9.491964594608766e-25,13.955305543363163,False,True
0.4,0.3,2,-2.94449469552453,16.0,0.0532271200902625,,,False,,-5.381731954164956,2.437237258640426,3.688628116260778e-08,,False,False
0.4,0.35,1,-2.902357970890118,12.0,0.040428149642911,,,False,,-5.339595229530544,2.437237258640426,4.6577164178754266e-08,,False,False
0.4,0.4,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.4,0.45,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.4,0.5,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.4,0.55,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.4,0.6,0,0.0,0.0,0.0,,,False,,-2.437237258640426,2.437237258640426,0.007399982595265384,,False,False
0.45,0.1,68,-1.067563055089139,18.5,0.1603643702040571,-1.761931418105066,-0.667820913126365,True,0.001,-11.175617470762932,0.2977559216525854,2.683788348021022e-29,4.786630311836386,False,True
0.45,0.15,32,-1.2484681967029743,17.75,0.1603643702040571,-2.5623337012896164,-0.5497804596587216,True,0.003,-9.388413992369909,0.43774073394902263,3.045524739038298e-21,6.977652771681582,False,True
0.45,0.2,19,-1.7810666853659263,18.05263157894737,0.1603643702040571,-3.1586606892782862,-1.442065285868794,True,0.01,-9.993663244446587,0.574462330981719,8.123217684146111e-24,9.055397990233523,False,True
