fold_id,asset,test_start_ts,test_end_ts,in_2022,n_test,sharpe_test
11,EURJPY,2008-10-22,2009-01-20,False,63,2.0494
12,EURUSD,2008-11-20,2009-02-18,False,63,0.7719
12,GBPUSD,2008-11-20,2009-02-18,False,63,-1.4413
12,USDJPY,2008-11-20,2009-02-18,False,63,-1.3783
12,AUDUSD,2008-11-20,2009-02-18,False,63,-0.429
12,USDCAD,2008-11-20,2009-02-18,False,63,-0.0389
12,USDCHF,2008-11-20,2009-02-18,False,63,-2.6775
12,EURGBP,2008-11-20,2009-02-18,False,63,-0.5024
12,EURJPY,2008-11-20,2009-02-18,False,63,1.5385
13,EURUSD,2008-12-19,2009-03-19,False,63,-0.7094
13,GBPUSD,2008-12-19,2009-03-19,False,63,-0.8842
13,USDJPY,2008-12-19,2009-03-19,False,63,0.4704
13,AUDUSD,2008-12-19,2009-03-19,False,63,1.9881
13,USDCAD,2008-12-19,2009-03-19,False,63,-1.9849
13,USDCHF,2008-12-19,2009-03-19,False,63,-1.1802
13,EURGBP,2008-12-19,2009-03-19,False,63,-1.5514
13,EURJPY,2008-12-19,2009-03-19,False,63,0.6604
14,EURUSD,2009-01-21,2009-04-17,False,63,3.011
14,GBPUSD,2009-01-21,2009-04-17,False,63,-1.4338
14,USDJPY,2009-01-21,2009-04-17,False,63,2.2897
14,AUDUSD,2009-01-21,2009-04-17,False,63,3.8729
14,USDCAD,2009-01-21,2009-04-17,False,63,-1.0886
14,USDCHF,2009-01-21,2009-04-17,False,63,-2.1664
14,EURGBP,2009-01-21,2009-04-17,False,63,2.5415
14,EURJPY,2009-01-21,2009-04-17,False,63,-5.8513
15,EURUSD,2009-02-19,2009-05-18,False,63,3.7327
15,GBPUSD,2009-02-19,2009-05-18,False,63,-2.4597
15,USDJPY,2009-02-19,2009-05-18,False,63,2.5604
15,AUDUSD,2009-02-19,2009-05-18,False,63,1.2941
15,USDCAD,2009-02-19,2009-05-18,False,63,-2.8428
15,USDCHF,2009-02-19,2009-05-18,False,63,-0.493
15,EURGBP,2009-02-19,2009-05-18,False,63,3.8826
15,EURJPY,2009-02-19,2009-05-18,False,63,-6.3249
16,EURUSD,2009-03-20,2009-06-22,False,63,-2.0
16,GBPUSD,2009-03-20,2009-06-22,False,63,-2.0563
16,USDJPY,2009-03-20,2009-06-22,False,63,1.5983
