ts,port_log_ret
2008-01-02 21:00:00,-0.0026879332422010344
2008-01-03 21:00:00,-0.0016228661837004701
2008-01-04 21:00:00,-0.00202612441752764
2008-01-07 21:00:00,0.002306695436072903
2008-01-08 21:00:00,0.0008297443124579293
2008-01-09 21:00:00,0.001968626442841231
2008-01-10 21:00:00,0.0023237515949460015
2008-01-11 21:00:00,-0.0009846950136413065
2008-01-14 21:00:00,0.0004917329749431629
2008-01-15 21:00:00,-0.006953790991856744
2008-01-16 21:00:00,-0.001068719909426838
2008-01-17 21:00:00,-0.00270242836238753
2008-01-18 21:00:00,-0.00010677700559412522
2008-01-21 21:00:00,-0.006908457347712371
2008-01-22 21:00:00,0.005317283109196304
2008-01-23 21:00:00,-0.0009259608599435002
2008-01-24 21:00:00,0.003338812930983942
2008-01-25 21:00:00,-0.0016970125406762105
2008-01-28 21:00:00,0.0025893872475152217
2008-01-29 21:00:00,0.00023248327280015596
2008-01-30 21:00:00,-0.0005334012585222446
2008-01-31 21:00:00,0.0012925589516877643
2008-02-01 21:00:00,-0.0001804348549420908
2008-02-04 21:00:00,0.0011692614950362151
2008-02-05 21:00:00,-0.00275490978660821
2008-02-06 21:00:00,-0.002469717481398545
2008-02-07 21:00:00,0.00041262415763730544
2008-02-08 21:00:00,-0.0009219147681040435
2008-02-11 21:00:00,0.0005747272091543838
2008-02-12 21:00:00,0.002552142840262083
2008-02-13 21:00:00,0.0017995036660526872
2008-02-14 21:00:00,0.00025247534764569397
2008-02-15 21:00:00,0.001984623191527341
2008-02-18 21:00:00,0.0028369507427779216
2008-02-19 21:00:00,0.0005725544812930461
2008-02-20 21:00:00,0.000907617546883812
2008-02-21 21:00:00,-0.0005954157318939917
2008-02-22 21:00:00,0.00038893381185124226
2008-02-25 21:00:00,0.000904914264523532
2008-02-26 21:00:00,-0.0007779350501652324
2008-02-27 21:00:00,0.001348812960553623
2008-02-28 21:00:00,-0.00174965306375156
2008-02-29 21:00:00,-0.006273529751518921
2008-03-03 21:00:00,0.00026782609758924873
2008-03-04 21:00:00,-0.0006609700846546676
2008-03-05 21:00:00,0.0024430315651478088
2008-03-06 21:00:00,-0.002658480027583229
2008-03-07 21:00:00,0.0002843466904024336
2008-03-10 21:00:00,-0.0041549211342390415
2008-03-11 21:00:00,0.0067309602605132345
2008-03-12 21:00:00,-0.0001616964967591883
2008-03-13 21:00:00,-0.0012802168367057392
2008-03-14 21:00:00,-0.004668293465152205
2008-03-17 21:00:00,-0.006208290493172448
2008-03-18 21:00:00,0.006998205701680079
2008-03-19 21:00:00,-0.0024779924536921004
2008-03-20 21:00:00,-0.0024298485700390425
2008-03-21 21:00:00,0.00029967221769606025
2008-03-24 21:00:00,0.004418752328574858
2008-03-25 21:00:00,0.002584570434656001
2008-03-26 21:00:00,0.0011300430850486125
2008-03-27 21:00:00,0.0003821789175003866
2008-03-28 21:00:00,-0.00028417714019782003
2008-03-31 21:00:00,0.00042797588964195747
2008-04-01 21:00:00,0.0023709223008345475
2008-04-02 21:00:00,0.002712870396218635
2008-04-03 21:00:00,-0.0019311465531904666
2008-04-04 21:00:00,0.0006886901998832421
2008-04-07 21:00:00,0.003979815350400449
2008-04-08 21:00:00,0.0011738459522425103
2008-04-09 21:00:00,-3.3998094575646965e-06
2008-04-10 21:00:00,-0.0007705606232368981
2008-04-11 21:00:00,-0.0016630322163048235
2008-04-14 21:00:00,-0.0004309325617377717
2008-04-15 21:00:00,0.0017412243503598687
2008-04-16 21:00:00,0.002400699696190352
2008-04-17 21:00:00,0.0026539364988404884
2008-04-18 21:00:00,0.0008949316761939898
2008-04-21 21:00:00,0.0015922899116985153
2008-04-22 21:00:00,0.001202933863122266
2008-04-23 21:00:00,0.001290596869568326
2008-04-24 21:00:00,-0.0017437321313762146
2008-04-25 21:00:00,-0.00210996745592609
2008-04-28 21:00:00,0.0005565433374348066
2008-04-29 21:00:00,-0.0026883033444254465
2008-04-30 21:00:00,0.001567636607753953
2008-05-01 21:00:00,-0.0008251584532144442
2008-05-02 21:00:00,0.002686156449225682
2008-05-05 21:00:00,0.0005549573122013353
2008-05-06 21:00:00,-0.00040362391810749415
2008-05-07 21:00:00,-0.0037256746862049965
2008-05-08 21:00:00,-0.0011072482524483534
2008-05-09 21:00:00,-0.0027020652707753496
2008-05-12 21:00:00,0.0044636387044798415
2008-05-13 21:00:00,0.0008517919022442841
2008-05-14 21:00:00,-0.00032397919589483807
2008-05-15 21:00:00,-0.000309469262904024
2008-05-16 21:00:00,0.0020729312894677237
2008-05-19 21:00:00,-0.0013606061611202242
2008-05-20 21:00:00,0.0004004149515158538
2008-05-21 21:00:00,0.00017140567417643258
2008-05-22 21:00:00,0.0008836060943682029
2008-05-23 21:00:00,-0.0006794305732858778
2008-05-26 21:00:00,0.0006571399973988783
2008-05-27 21:00:00,0.0010348417645941947
2008-05-28 21:00:00,0.0007394759091694334
2008-05-29 21:00:00,-0.0011072208026653662
2008-05-30 21:00:00,0.000921740612149039
2008-06-02 21:00:00,-0.0028217287616537625
2008-06-03 21:00:00,0.00035012662389609036
2008-06-04 21:00:00,0.0020255859299743864
2008-06-05 21:00:00,0.005528220448602116
2008-06-06 21:00:00,0.000153727675206046
2008-06-09 21:00:00,-6.731521615575061e-05
2008-06-10 21:00:00,-0.000627122830060383
2008-06-11 21:00:00,-0.00034439360821544217
2008-06-12 21:00:00,0.00017138755352087516
2008-06-13 21:00:00,0.0004176762048239171
2008-06-16 21:00:00,0.001907179919515252
2008-06-17 21:00:00,-0.00045358556224266774
2008-06-18 21:00:00,-0.00021784892182461678
2008-06-19 21:00:00,0.0009563372953323139
2008-06-20 21:00:00,0.0004310561281416817
2008-06-23 21:00:00,-0.00017922577741174192
2008-06-24 21:00:00,0.0007815315046003394
2008-06-25 21:00:00,0.001606594888858697
2008-06-26 21:00:00,-0.0013872247267677396
2008-06-27 21:00:00,-0.0011692143839758778
2008-06-30 21:00:00,0.0007305222108718849
2008-07-01 21:00:00,2.536738247730901e-05
2008-07-02 21:00:00,0.0006465477423074546
2008-07-03 21:00:00,-0.0003049704601889978
2008-07-04 21:00:00,0.0006518635566810372
2008-07-07 21:00:00,0.0003355591094507984
2008-07-08 21:00:00,0.00011835472491769567
2008-07-09 21:00:00,-0.001301703167716094
2008-07-10 21:00:00,0.002159328956866353
2008-07-11 21:00:00,0.0009564666097033384
2008-07-14 21:00:00,-0.0005815574217363278
2008-07-15 21:00:00,-0.0035579389667475215
2008-07-16 21:00:00,-0.0007624828552041295
2008-07-17 21:00:00,0.003812968500576413
2008-07-18 21:00:00,0.0015115063746271645
2008-07-21 21:00:00,-7.448277606624443e-05
2008-07-22 21:00:00,0.0009916292291363691
2008-07-23 21:00:00,-0.0012076031088566488
2008-07-24 21:00:00,-0.001951510948963618
2008-07-25 21:00:00,0.00245907478982823
2008-07-28 21:00:00,0.00037696018825455834
2008-07-29 21:00:00,-0.0017293594118461325
2008-07-30 21:00:00,-0.0008964762634829534
2008-07-31 21:00:00,-0.0006710817581380345
2008-08-01 21:00:00,-0.0019372878465877224
2008-08-04 21:00:00,0.0023851971883534044
2008-08-05 21:00:00,-0.0025588343494107823
2008-08-06 21:00:00,0.002543622289991501
2008-08-07 21:00:00,-0.003342320891602083
2008-08-08 21:00:00,-0.003940648589179884
2008-08-11 21:00:00,-0.002861624152166968
2008-08-12 21:00:00,-0.004049966671902392
2008-08-13 21:00:00,0.000526877315796583
2008-08-14 21:00:00,-0.002009797428789574
2008-08-15 21:00:00,-0.001606380495443723
2008-08-18 21:00:00,0.00010517120963224525
2008-08-19 21:00:00,0.0013168040912230137
2008-08-20 21:00:00,8.463362145585066e-05
2008-08-21 21:00:00,-0.002115096676602848
2008-08-22 21:00:00,0.0012796623761460266
2008-08-25 21:00:00,-0.0035421401628094847
2008-08-26 21:00:00,-0.0019529140878679027
2008-08-27 21:00:00,0.0013933294554983851
2008-08-28 21:00:00,0.0007118454803061065
2008-08-29 21:00:00,-0.001304690399960497
2008-09-01 21:00:00,-0.0040359426812653235
2008-09-02 21:00:00,-0.003266714659997843
2008-09-03 21:00:00,-0.001492951972328566
2008-09-04 21:00:00,-0.009065293061954907
2008-09-05 21:00:00,-0.000293801170828673
2008-09-08 21:00:00,-0.0007576328749981789
2008-09-09 21:00:00,-0.004582632730097247
2008-09-10 21:00:00,-0.0013209376290902576
2008-09-11 21:00:00,0.0002619989900243422
2008-09-12 21:00:00,0.008314971257611763
2008-09-15 21:00:00,-0.012035730937331976
2008-09-16 21:00:00,0.0015855983350690282
2008-09-17 21:00:00,-0.000576161687659426
2008-09-18 21:00:00,0.002822288595551562
2008-09-19 21:00:00,0.01073348084595548
2008-09-22 21:00:00,5.159889443501187e-06
2008-09-23 21:00:00,-0.0030339428597795527
2008-09-24 21:00:00,0.0013481122259100002
2008-09-25 21:00:00,0.0003309013690369656
2008-09-26 21:00:00,-0.001935996794668781
2008-09-29 21:00:00,-0.01175459315167808
2008-09-30 21:00:00,-0.00037090565598315954
2008-10-01 21:00:00,-0.0037322432503853102
2008-10-02 21:00:00,-0.005356700981136095
2008-10-03 21:00:00,-0.0014512188995091009
2008-10-06 21:00:00,-0.020568014128081697
2008-10-07 21:00:00,-0.0014839233829855693
2008-10-08 21:00:00,-0.010595561943838629
2008-10-09 21:00:00,0.006812925107249058
2008-10-10 21:00:00,-0.007788317860058696
2008-10-13 21:00:00,0.01579671092888597
2008-10-14 21:00:00,0.002487891231470665
2008-10-15 21:00:00,-0.012592409106060838
2008-10-16 21:00:00,0.007540900568291764
2008-10-17 21:00:00,-0.0010249946358365741
2008-10-20 21:00:00,0.0036250617417666548
2008-10-21 21:00:00,-0.01574191418830593
2008-10-22 21:00:00,-0.006563588380676194
2008-10-23 21:00:00,-0.0004970007589675191
2008-10-24 21:00:00,-0.022189917490318904
2008-10-27 21:00:00,-0.011696950335618145
2008-10-28 21:00:00,0.025851676505642004
2008-10-29 21:00:00,0.003467164942474012
2008-10-30 21:00:00,0.0028840756733677485
2008-10-31 21:00:00,-0.004997139095667435
2008-11-03 21:00:00,-0.000516690792599642
2008-11-04 21:00:00,0.01113561354556311
2008-11-05 21:00:00,-0.007173313448189887
2008-11-06 21:00:00,-0.006223257995828149
2008-11-07 21:00:00,0.004321657555717905
2008-11-10 21:00:00,-0.0022837327052055143
2008-11-11 21:00:00,-0.006365290432665949
2008-11-12 21:00:00,-0.010274737664242962
2008-11-13 21:00:00,0.021482359671143043
2008-11-14 21:00:00,-0.006692020347779704
2008-11-17 21:00:00,-0.0029417761990724158
2008-11-18 21:00:00,0.0008666833928177941
2008-11-19 21:00:00,-0.0042876759810320155
2008-11-20 21:00:00,-0.006905888033121895
2008-11-21 21:00:00,0.010668214338358078
