ts,port_log_ret,equity
2008-01-02 21:00:00,0.017441290899802533,1.0175942783525784
2008-01-03 21:00:00,0.00674690349763047,1.0244831017296436
2008-01-04 21:00:00,-0.0022335361076594494,1.0221974352397667
2008-01-07 21:00:00,-0.007120959542833719,1.0149442640773352
2008-01-08 21:00:00,-0.004381649066829092,1.0105068631559737
2008-01-09 21:00:00,-0.011605578746709875,0.9988471359923085
2008-01-10 21:00:00,0.008286829331675568,1.0071588028545582
2008-01-11 21:00:00,0.0044926599995054215,1.0116938044034531
2008-01-14 21:00:00,0.007542223506158632,1.0193530728451243
2008-01-15 21:00:00,0.007632283222785883,1.0271628294272028
2008-01-16 21:00:00,-0.013546882082894889,1.013341802971481
2008-01-17 21:00:00,-0.0007334804250417857,1.0125988091141604
2008-01-18 21:00:00,0.0018332366781796717,1.0144568449806923
2008-01-21 21:00:00,-0.010687776102157431,1.0036722914613967
2008-01-22 21:00:00,0.0072647676824502145,1.0109902870721483
2008-01-23 21:00:00,-0.0016656390063799656,1.0093077438587301
2008-01-24 21:00:00,0.008772893412390624,1.0182012469536221
2008-01-25 21:00:00,0.002386669051014364,1.0206342585993207
2008-01-28 21:00:00,0.0006733233880252534,1.021321706927802
2008-01-29 21:00:00,0.00356855964575312,1.024972865169783
2008-01-30 21:00:00,-0.005534392725848957,1.0193159310870963
2008-01-31 21:00:00,0.002546046806247683,1.0219144637471707
2008-02-01 21:00:00,0.002883560892621215,1.0248654689873065
2008-02-04 21:00:00,0.002457810508309603,1.0273874921645276
2008-02-05 21:00:00,-0.0010237846507087046,1.0263362068564246
2008-02-06 21:00:00,-0.00480285657048489,1.021418679803246
2008-02-07 21:00:00,0.00731926545810651,1.028922140677893
2008-02-08 21:00:00,-0.0009289208647069139,1.0279667972211899
2008-02-11 21:00:00,0.003480447006562238,1.0315508145567085
2008-02-12 21:00:00,0.0029049751716047336,1.0345518008461614
2008-02-13 21:00:00,0.00414328853874436,1.038847139734757
2008-02-14 21:00:00,-0.0023663892585538966,1.0363917293961513
2008-02-15 21:00:00,-0.0006331952570361105,1.0357356987883197
2008-02-18 21:00:00,0.006273293211168639,1.0422535954790833
2008-02-19 21:00:00,-0.006738904323762187,1.0352535609903228
2008-02-20 21:00:00,0.0015396997492445339,1.0368487683936602
2008-02-21 21:00:00,-0.002078915509949308,1.0346954864287325
2008-02-22 21:00:00,0.0028725969040958093,1.037672022627246
2008-02-25 21:00:00,0.006833040121988763,1.0447867571420377
2008-02-26 21:00:00,-0.000892245641840373,1.0438549664662267
2008-02-27 21:00:00,-0.005922157595544033,1.037691361781199
2008-02-28 21:00:00,-0.0031763042502024963,1.0344005673472585
2008-02-29 21:00:00,-0.01481618268430759,1.0191876763513077
2008-03-03 21:00:00,-0.0026525361294469367,1.0164878265247035
2008-03-04 21:00:00,-0.005025889090788686,1.0113918879841723
2008-03-05 21:00:00,0.006446932887193985,1.0179333270612434
2008-03-06 21:00:00,-0.007928673406725421,1.0098943773776816
2008-03-07 21:00:00,0.002289738920295689,1.0122094212505173
2008-03-10 21:00:00,-0.012611233469487853,0.9995243671308478
2008-03-11 21:00:00,-0.0012001319270526405,0.9983255255539056
2008-03-12 21:00:00,-0.006871329830767244,0.9914892157571783
2008-03-13 21:00:00,-0.0042281385535010065,0.9873059120047225
2008-03-14 21:00:00,-0.015704156597702072,0.9719222155022149
2008-03-17 21:00:00,-0.005552325555572669,0.9665407406224489
2008-03-18 21:00:00,0.0018646249715610647,0.9683446579154014
2008-03-19 21:00:00,-0.005583829042594717,0.9629526549126047
2008-03-20 21:00:00,0.00041349842147293207,0.9633509166499895
2008-03-21 21:00:00,-0.0008110417268652016,0.9625699156139981
2008-03-24 21:00:00,0.0009952941300356002,0.9635284327248582
2008-03-25 21:00:00,0.005117065124507587,0.9684715066942051
2008-03-26 21:00:00,0.0005393266661863011,0.9689939700797606
2008-03-27 21:00:00,-0.00037193910300716373,0.9686336303480821
2008-03-28 21:00:00,-0.0030415118623465763,0.9656919954475376
2008-03-31 21:00:00,-0.0028106115934491646,0.9629816210185532
2008-04-01 21:00:00,-0.0021296736146997454,0.9609329667256334
2008-04-02 21:00:00,0.0031623153201454403,0.9639765496159648
2008-04-03 21:00:00,0.0021247965973125393,0.9660269813121894
2008-04-04 21:00:00,-0.0008513687390872917,0.9652048861419061
2008-04-07 21:00:00,-0.0012357981069422942,0.9640128244962725
2008-04-08 21:00:00,-0.004737557925524757,0.9594565592065442
2008-04-09 21:00:00,0.0016565439693050704,0.9610472583512875
