bar_ts,n_edges,edge_density,mean_abs_corr,median_abs_corr,max_abs_corr,p90_abs_corr,n_components,mean_degree,min_degree,max_degree,deg_EURUSD,deg_GBPUSD,deg_USDJPY,deg_AUDUSD,deg_USDCAD,deg_USDCHF,deg_EURGBP,deg_EURJPY
2004-01-20 21:00:00,26,0.9285714285714286,0.5154041816389435,0.5199339031943877,0.9466624987618857,0.715228871579173,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-01-21 21:00:00,26,0.9285714285714286,0.5180595151029156,0.5247336004718941,0.9500762094400063,0.730414465145014,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-01-22 21:00:00,26,0.9285714285714286,0.5149565221332194,0.5248054814423472,0.950119175650928,0.7317123847284263,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-01-23 21:00:00,26,0.9285714285714286,0.5165371971731622,0.5271780933382264,0.9503311526289594,0.7347221335793477,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-01-26 21:00:00,26,0.9285714285714286,0.5224311635040652,0.530258205643564,0.9493368921088242,0.7341876713089361,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-01-27 21:00:00,26,0.9285714285714286,0.52291582818408,0.5353778536730944,0.9513288498360429,0.7403015866168774,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-01-28 21:00:00,26,0.9285714285714286,0.5271010150882897,0.538622376089212,0.9519251441867782,0.7417889334349926,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-01-29 21:00:00,26,0.9285714285714286,0.5342882169313435,0.5447288551136759,0.9530259572425978,0.7449598850246436,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-01-30 21:00:00,26,0.9285714285714286,0.5332848277059854,0.5454490201251256,0.9531045028267797,0.7455090578378187,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-02 21:00:00,26,0.9285714285714286,0.5350674319431581,0.5475782306024465,0.9522700558284432,0.7459168911409745,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-03 21:00:00,26,0.9285714285714286,0.5324737244344881,0.5426239886785738,0.9511320656419341,0.7437229379070868,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-04 21:00:00,26,0.9285714285714286,0.533593398501859,0.5465522536777654,0.951556971591544,0.7493550752791439,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-05 21:00:00,26,0.9285714285714286,0.534749439141961,0.547010034495485,0.9520085032191097,0.7493071731755199,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-06 21:00:00,26,0.9285714285714286,0.5283538601169544,0.5238070246928958,0.949597154049017,0.7374571010224498,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-09 21:00:00,26,0.9285714285714286,0.5344830777153043,0.528391738264982,0.9508256679341025,0.7415821417963377,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-10 21:00:00,26,0.9285714285714286,0.5323214942914684,0.5258984436888712,0.9512344134533784,0.7358720508107067,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-11 21:00:00,26,0.9285714285714286,0.5322611656848137,0.5221750560099696,0.9522804772588432,0.7365153959012196,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-12 21:00:00,26,0.9285714285714286,0.5351381247412453,0.5251312853027434,0.9504588785957423,0.7386556576555694,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-13 21:00:00,26,0.9285714285714286,0.5365671018314876,0.52534427433401,0.9503272519054972,0.740001946764302,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-16 21:00:00,26,0.9285714285714286,0.5350707995458469,0.5289893066220743,0.9500699859488618,0.7447544124150085,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-17 21:00:00,26,0.9285714285714286,0.5372618790635628,0.5339931846443349,0.9499793955633662,0.745137976592922,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-18 21:00:00,26,0.9285714285714286,0.5278735686331821,0.5351306014261681,0.9492923999122025,0.7368562863893316,1,6.5,5,7,7,6,6,7,7,7,5,7
2004-02-19 21:00:00,25,0.8928571428571429,0.5373852790273596,0.5439645079243607,0.950845753238363,0.7470354792283337,1,6.25,5,7,7,6,5,7,7,7,5,6
2004-02-20 21:00:00,25,0.8928571428571429,0.5381238112588942,0.5374344336475695,0.9507678257612306,0.7478554489820578,1,6.25,5,7,7,6,5,7,7,7,5,6
2004-02-23 21:00:00,24,0.8571428571428571,0.533644078742232,0.5422433036280583,0.9513095510163329,0.7572637801376706,1,6.0,4,7,7,6,5,6,7,7,4,6
2004-02-24 21:00:00,24,0.8571428571428571,0.532898051734887,0.5398650636939581,0.9512164706536869,0.7574189893422596,1,6.0,4,7,7,6,5,6,7,7,4,6
2004-02-25 21:00:00,24,0.8571428571428571,0.5303684221649069,0.5345014532896945,0.9543776909179051,0.7556629264508525,1,6.0,4,7,7,6,5,6,7,7,4,6
2004-02-26 21:00:00,24,0.8571428571428571,0.5352974913479643,0.539079963874683,0.9559040856521331,0.7641141401936683,1,6.0,4,7,7,6,5,6,7,7,4,6
2004-02-27 21:00:00,24,0.8571428571428571,0.5361679760740685,0.5403767856339505,0.9561898788942369,0.7653905373245579,1,6.0,4,7,7,6,5,6,7,7,4,6
2004-03-01 21:00:00,24,0.8571428571428571,0.5363139228110003,0.5444052391257732,0.9576730307246625,0.7654002223333561,1,6.0,4,7,7,6,5,6,7,7,4,6
2004-03-02 21:00:00,24,0.8571428571428571,0.5372775594136352,0.5458112144533596,0.9578092605671586,0.7664157112492032,1,6.0,4,7,7,6,5,6,7,7,4,6
