ts,ricci_div_z,fwd_return_1h,fiedler_lambda2
2017-02-28 21:00:00,-0.9499006071736456,-0.00010359725624523661,0.0
2017-02-28 22:00:00,-0.9499006071736456,0.009781567221390857,0.0
2017-03-01 15:00:00,-0.9499006071736456,0.0012972884310194896,0.0
2017-03-01 16:00:00,1.0526464378236753,0.0018384278267975355,3.0
2017-03-01 17:00:00,1.0526464378236753,0.001084757183366234,3.0
2017-03-01 18:00:00,1.0526464378236753,0.0003335348470601374,3.0
2017-03-01 19:00:00,1.0526464378236753,0.0015411532540565529,3.0
2017-03-01 20:00:00,1.0526464378236753,-0.0021666223762737617,3.0
2017-03-01 21:00:00,1.0526464378236753,-7.71682988840824e-05,3.0
2017-03-01 22:00:00,1.0526464378236753,-0.001429733050488663,3.0
2017-03-02 15:00:00,1.0526464378236753,-0.0013753061596470466,3.0
2017-03-02 16:00:00,-0.9499006071736456,-0.0003765532867388586,0.0
2017-03-02 17:00:00,-0.9499006071736456,-0.00046042443574248406,0.0
2017-03-02 18:00:00,-0.9499006071736456,-8.3736314395059e-05,0.0
2017-03-02 19:00:00,-0.9499006071736456,0.0005023127420964566,0.0
2017-03-02 20:00:00,-0.9499006071736456,-0.002639961305285051,0.0
2017-03-02 21:00:00,-0.9499006071736456,-0.00014686906649133608,0.0
2017-03-02 22:00:00,-0.9499006071736456,-0.0010349892334019096,0.0
2017-03-03 15:00:00,-0.9499006071736456,-0.0006240302258338067,0.0
2017-03-03 16:00:00,-0.9499006071736456,0.0007143457737166945,0.0
2017-03-03 17:00:00,-0.9499006071736456,0.0005459203091951003,0.0
2017-03-03 18:00:00,-0.9499006071736456,0.00029383369224550497,0.0
2017-03-03 19:00:00,-0.9499006071736456,0.00037765935575388037,0.0
2017-03-03 20:00:00,-0.9499006071736456,0.000587186763227587,0.0
2017-03-03 21:00:00,-0.9499006071736456,-4.193047927147748e-05,0.0
2017-03-03 22:00:00,-0.9499006071736456,-0.0037599162080852937,0.0
2017-03-06 15:00:00,-0.9499006071736456,-0.001984374235821649,0.0
2017-03-06 16:00:00,-0.9499006071736456,0.00027830252507256574,0.0
2017-03-06 17:00:00,-0.9499006071736456,0.0014324537428654419,0.0
2017-03-06 18:00:00,-0.9499006071736456,0.0010940229573646672,0.0
2017-03-06 19:00:00,-0.9499006071736456,4.205391312295848e-05,0.0
2017-03-06 20:00:00,-0.9499006071736456,-0.00016822626472231912,0.0
2017-03-06 21:00:00,-0.9499006071736456,-0.00012408500469668495,0.0
2017-03-06 22:00:00,-0.9499006071736456,-0.002318381414941279,0.0
2017-03-07 15:00:00,-0.9499006071736456,0.0012977766864918827,0.0
2017-03-07 16:00:00,-0.9499006071736456,-0.0010026795130675331,0.0
2017-03-07 17:00:00,-0.9499006071736456,0.0003371473154973424,0.0
2017-03-07 18:00:00,-0.9499006071736456,-0.0005900824179144084,0.0
2017-03-07 19:00:00,-0.9499006071736456,0.000927116103408567,0.0
2017-03-07 20:00:00,-0.9499006071736456,-0.001475361731175889,0.0
2017-03-07 21:00:00,-0.9499006071736456,-4.218519300352492e-05,0.0
2017-03-07 22:00:00,-0.9499006071736456,0.0014754239250154863,0.0
